Language,Namespace,Key
de,,
de,Error creating schedule,
de,Error deleting schedule,
de,Error disabling user,
de,Error starting impersonation,
de,Error updating schedule,
de,Failed,
de,Failed to create,
de,Failed to delete facility,
de,Failed to leave facility,
de,New status,
de,New status (open/filled/confirmed/completed/cancelled),
de,Reason for disabling this account,
de,Rejection reason,
de,admin,dashboard.emailCenter
de,admin,emailCenter.title
de,admin,sidebar.linkedinJobScraper
de,admin,emailCenter.subtitle
de,admin,dashboard.emailCenterDesc
de,admin,sidebar.emailCenter
de,common,accountBasics.reauthenticateTitle
de,common,auth.errors.emailRequired
de,common,faq.description
de,common,meta.description
de,common,personalDetails.lastName
de,common,account.subtitle
de,common,accountBasics.reauthenticateMessagePasswordDelete
de,common,Error approving user. Please try again.
de,common,operations.editWorkerRequirement
de,common,dashboard.tutorial.currentPageOnlyTitle
de,common,operations.addWorkerRequirement
de,common,values.value5.title
de,common,auth.signup.termsAndConditions
de,common,operations.closed
de,common,operations.quantity
de,common,subscription.features.facility.standard.advancedSearch
de,common,operations.workerTypeRequired
de,common,contact.form.subjectPlaceholder
de,common,/
de,common,subscription.upgradeFailed
de,common,auth.invitation.loginRequired
de,common,billingInformation.accessCodeError
de,common,documents.workExperience
de,common,values.value3.title
de,common,accountBasics.confirmPassword
de,common,billingInformation.title
de,common,missionVision.conclusion
de,common,Push notification would be sent now
de,common,accessLevelChoice.quickStart
de,common,dashboard.onboarding.phoneVerification.codeRequired
de,common,auth.loginLink
de,common,auth.invitation.accept
de,common,terms.meta.keywords
de,common,termsAndConditions
de,common,labels.vacation
de,common,Error exporting payroll data. Please try again.
de,common,contact.form.title
de,common,operations.workerSelectionRequired
de,common,billingInformation.bankingInfo
de,common,../pages/TestPage
de,common,dashboard.navigation.organization
de,common,settings.advancedTab
de,common,billingInformation.hiringInfoMessage
de,common,No shifts found for the selected period.
de,common,dashboard.onboarding.errors.missing_profession
de,common,restartTutorial.title
de,common,settings.accountDeletion.deleteButton
de,common,professionalBackground.subtitle
de,common,cancel
de,common,operations.addWorker
de,common,dashboard.onboarding.buttons.verifying
de,common,auth.errors.tooManyRequests
de,common,dashboard.onboarding.phoneVerification.codeExpired
de,common,subscription.facilitySubtitle
de,common,dashboard.tutorial.allPagesTitle
de,common,readMore
de,common,Error saving document. Please try again.
de,common,categories
de,common,contact.form.email
de,common,settings.notificationPreferencesDescription
de,common,Error loading document
de,common,./auditLogger
de,common,subscription.features.premium.dedicatedSupport
de,common,missionVision.commitmentSection.points
de,common,back
de,common,contact.form.inquiryType.label
de,common,editContract
de,common,share_content
de,common,accessLevelChoice.backToOnboarding
de,common,Error loading PDF
de,common,settings.leaveFacility.dialogTitle
de,common,Error scraping jobs. Please try again.
de,common,Facility deleted successfully.
de,common,settings.premiumFeatureRequired
de,common,noResults
de,common,contact.form.phone
de,common,accountBasics.2faIsEnabledMessage
de,common,settings.title
de,common,../admin/pages/finance/SpendingsTracker
de,common,professionalBackground.summary
de,common,expand
de,common,_
de,common,dashboard.onboarding.step1.facilityLegalText3
de,common,missionVision.experienceSection.paragraph2
de,common,tabs.accountManagement
de,common,User not found
de,common,map.title
de,common,settings.accountDeletion.reauthMessageGoogle
de,common,pdfView
de,common,auth.signup.continue
de,common,billingInformation.employmentEligibilityTitle
de,common,dashboard.header.createProfessional
de,common,[aria-label=
de,common,subscription.currentPlan
de,common,section.subsection.key
de,common,subscription.features.premium.smsNotifications
de,common,dashboard.onboarding.step2.organization
de,common,dashboard.onboarding.step1.restrictedServices.modal.jobPostulations
de,common,accountBasics.googleAuthMessage
de,common,privacy.sections.content.titre_document
de,common,dashboard.onboarding.phoneVerification.verifying
de,common,Admin rights granted.
de,common,personalDetails.selectDocument
de,common,dashboard.onboarding.step1.restrictedServices.modal.cancel
de,common,dashboard.onboarding.step2.organizationDescription
de,common,auth.forgotPassword.title
de,common,billingInformation.billingAddress
de,common,auth.signup.codeSent
de,common,subscription.facility.standard.title
de,common,auth.signup.verifyPhone
de,common,operations.assignedWorkers
de,common,accountBasics.title
de,common,?
de,common,dashboard.onboarding.step3.chain.phoneNumberPlaceholder
de,common,operations.facilityRequired
de,common,auth.login.resetPasswordLink
de,common,operations.placeholderNamePlaceholder
de,common,dashboard.tutorial.currentPageOnly
de,common,dashboard.onboarding.phoneVerification.invalidCode
de,common,subscription.subtitle
de,common,subscription.title
de,common,operations.invitationEmailBody
de,common,jobPreferences.preferredShiftsAndContracts
de,common,settings.availabilitySettingsTitle
de,common,settings.accountDeletion.title
de,common,errors.loadingProfile
de,common,common.copy
de,common,subscription.classic.price
de,common,postNotFound
de,common,restartTutorial.button
de,common,subscription.perMonth
de,common,operations.personnalize
de,common,jobPreferences.availability
de,common,accountBasics.emailVerified
de,common,settings.accountDeletion.confirmPlaceholder
de,common,missionVision.experienceSection.paragraph1
de,common,terms.lastUpdated
de,common,auth.forgotPassword.subtitle
de,common,values.value2.description
de,common,de-CH
de,common,dashboard.onboarding.step1.restrictedServices.modal.createProfile
de,common,contact.form.errors.emailRequired
de,common,personalDetails.noDocumentsAvailable
de,common,personalDetails.email
de,common,auth.signup.verifyEmail
de,common,noPostsFound
de,common,invalidDate
de,common,Error updating role. Please try again.
de,common,subscription.features.facility.basic.emailNotifications
de,common,accessLevelChoice.fullAccess.benefit1
de,common,values.value1.description
de,common,accountBasics.deleteWarningPermanent
de,common,auth.errors.recaptchaFailed
de,common,subtitle
de,common,dashboard.tutorial.allPages
de,common,billingInformation.insurance
de,common,userMenu.language
de,common,auth.login.signupLink
de,common,accessLevelChoice.glnRequired
de,common,firebase/firestore
de,common,../pages/payroll/PayrollDashboard
